Taxon	nuccore_pass	nuccore_skip	nucest_pass	nucest_skip	accepted
leishmania.major	9088	88	2192	1	18432
giardia.lamblia	9364	3437	20239	1	29105
pneumocystis.jirovecii	399	1	0	0	243
borrelia.hermsii	453	3	0	0	627
ehrlichia.ruminantium	501	7	0	0	508
ehrlichia.canis	334	3	0	0	236
babesia.bovis	4274	37	8	1	4233
pneumocystis.carinii	550	3	3897	1	4377
plasmodium.berghei	10089	14968	60824	1	70855
ehrlichia.chaffeensis	235	255	0	0	236
trypanosoma.brucei	10486	211	5132	3	15759
plasmodium.vivax	15951	5642	31856	1	45573
plasmodium.falciparum	23912	137705	87839	1	110092
anaplasma.marginale	834	433	0	0	893
neisseria.gonorrhoeae	16767	5266	0	0	2561
trypanosoma.cruzi	24210	62935	14019	6	36808
anaplasma.phagocytophilum	2162	3	0	0	1582
plasmodium.chabaudi	12451	21390	0	0	12488
neisseria.meningitidis	25241	12	0	0	15860
plasmodium.yoelii	7704	11386	30180	1	37868
plasmodium.knowlesi	5371	38	0	0	5422
