Ortholog	Taxon	Type	Count
var	ehrlichia.ruminantium	clade	2
var	borrelia.hermsii	clade	2
var	plasmodium.falciparum	clade	39841
var	plasmodium.knowlesi	clade	82
var	plasmodium.berghei	clade	366
var	plasmodium.yoelii	clade	696
var	plasmodium.chabaudi	clade	228
var	plasmodium.vivax	clade	681
var	trypanosoma.cruzi	clade	3
var	trypanosoma.brucei	clade	3
var	leishmania.major	clade	3
var	pneumocystis.jirovecii	clade	27
var	pneumocystis.carinii	clade	18
var	plasmodium.falciparum_3d7	spp	65
var	plasmodium.knowlesi_h	spp	3
var	plasmodium.berghei_anka	spp	2
var	plasmodium.chabaudi_as	spp	2
var	plasmodium.vivax_salvador1	spp	2
var	plasmodium.falciparum_dd2	spp	53
var	plasmodium.falciparum_hb3	spp	83
rifin_stevor	plasmodium.falciparum	clade	614
rifin_stevor	plasmodium.berghei	clade	2
rifin_stevor	plasmodium.yoelii	clade	2
rifin_stevor	plasmodium.chabaudi	clade	2
rifin_stevor	plasmodium.vivax	clade	24
rifin_stevor	plasmodium.falciparum_3d7	spp	225
rifin_stevor	plasmodium.yoelii_17xnl	spp	2
rifin_stevor	plasmodium.chabaudi_as	spp	2
rifin_stevor	giardia.lamblia_ATCC_50803	spp	3
rifin_stevor	plasmodium.falciparum_dd2	spp	181
rifin_stevor	plasmodium.falciparum_hb3	spp	159
msp2_p44_map1_omp	anaplasma.marginale	clade	408
msp2_p44_map1_omp	anaplasma.phagocytophilum	clade	300
msp2_p44_map1_omp	ehrlichia.canis	clade	58
msp2_p44_map1_omp	ehrlichia.chaffeensis	clade	102
msp2_p44_map1_omp	ehrlichia.ruminantium	clade	110
msp2_p44_map1_omp	plasmodium.yoelii	clade	2
msp2_p44_map1_omp	anaplasma.marginale_st_maries	spp	33
msp2_p44_map1_omp	anaplasma.phagocytophilum_hz	spp	85
msp2_p44_map1_omp	ehrlichia.canis_jake	spp	27
msp2_p44_map1_omp	ehrlichia.chaffeensis_arkansas	spp	23
msp2_p44_map1_omp	ehrlichia.ruminantium_gardel	spp	17
msp2_p44_map1_omp	neisseria.meningitidis_53442	spp	4
msp2_p44_map1_omp	neisseria.meningitidis_FAM18	spp	5
msp2_p44_map1_omp	neisseria.meningitidis_MC58	spp	5
msp2_p44_map1_omp	neisseria.meningitidis_Z2491	spp	5
msp2_p44_map1_omp	ehrlichia.ruminantium_welgevonden	spp	33
vir_kir	ehrlichia.ruminantium	clade	3
vir_kir	plasmodium.falciparum	clade	2982
vir_kir	plasmodium.knowlesi	clade	146
vir_kir	plasmodium.berghei	clade	1087
vir_kir	plasmodium.yoelii	clade	1515
vir_kir	plasmodium.chabaudi	clade	613
vir_kir	plasmodium.vivax	clade	2042
vir_kir	trypanosoma.brucei	clade	2
vir_kir	leishmania.major	clade	3
vir_kir	pneumocystis.jirovecii	clade	21
vir_kir	pneumocystis.carinii	clade	13
vir_kir	plasmodium.falciparum_3d7	spp	3
vir_kir	plasmodium.knowlesi_h	spp	63
vir_kir	plasmodium.berghei_anka	spp	3
vir_kir	plasmodium.yoelii_17xnl	spp	2
vir_kir	plasmodium.chabaudi_as	spp	6
vir_kir	plasmodium.vivax_salvador1	spp	299
vir_kir	leishmania.major_Friedlin	spp	2
vir_kir	plasmodium.falciparum_dd2	spp	3
cir_bir_yir	ehrlichia.ruminantium	clade	9
cir_bir_yir	borrelia.hermsii	clade	6
cir_bir_yir	plasmodium.falciparum	clade	5143
cir_bir_yir	plasmodium.knowlesi	clade	118
cir_bir_yir	plasmodium.berghei	clade	2355
cir_bir_yir	plasmodium.yoelii	clade	3270
cir_bir_yir	plasmodium.chabaudi	clade	1425
cir_bir_yir	plasmodium.vivax	clade	298
cir_bir_yir	trypanosoma.cruzi	clade	2
cir_bir_yir	trypanosoma.brucei	clade	4
cir_bir_yir	pneumocystis.jirovecii	clade	3
cir_bir_yir	babesia.bovis	clade	3
cir_bir_yir	plasmodium.berghei_anka	spp	240
cir_bir_yir	plasmodium.yoelii_17xnl	spp	877
cir_bir_yir	plasmodium.chabaudi_as	spp	192
cir_bir_yir	plasmodium.vivax_salvador1	spp	2
vsp	anaplasma.marginale	clade	26
vsp	anaplasma.phagocytophilum	clade	3
vsp	ehrlichia.chaffeensis	clade	3
vsp	ehrlichia.ruminantium	clade	3
vsp	neisseria.gonorrhoeae	clade	3
vsp	neisseria.meningitidis	clade	18
vsp	borrelia.hermsii	clade	3
vsp	plasmodium.falciparum	clade	1585
vsp	plasmodium.knowlesi	clade	94
vsp	plasmodium.berghei	clade	155
vsp	plasmodium.yoelii	clade	143
vsp	plasmodium.chabaudi	clade	38
vsp	plasmodium.vivax	clade	1200
vsp	giardia.lamblia	clade	2804
vsp	trypanosoma.cruzi	clade	298
vsp	trypanosoma.brucei	clade	98
vsp	leishmania.major	clade	424
vsp	pneumocystis.jirovecii	clade	2
vsp	pneumocystis.carinii	clade	12
vsp	babesia.bovis	clade	193
vsp	leishmania.major_Friedlin	spp	4
vsp	giardia.lamblia_ATCC_50803	spp	391
porA	neisseria.gonorrhoeae	clade	976
porA	neisseria.meningitidis	clade	1479
porA	anaplasma.phagocytophilum_hz	spp	2
porA	neisseria.gonorrhoeae_FA_1090	spp	2
porA	neisseria.meningitidis_53442	spp	3
porA	neisseria.meningitidis_FAM18	spp	3
porA	neisseria.meningitidis_MC58	spp	3
porA	neisseria.meningitidis_Z2491	spp	3
opc	neisseria.gonorrhoeae	clade	4
opc	neisseria.meningitidis	clade	17
opc	neisseria.gonorrhoeae_FA_1090	spp	2
opc	neisseria.meningitidis_53442	spp	2
opc	neisseria.meningitidis_FAM18	spp	2
opc	neisseria.meningitidis_MC58	spp	3
opc	neisseria.meningitidis_Z2491	spp	3
pilE_S	neisseria.gonorrhoeae	clade	127
pilE_S	neisseria.meningitidis	clade	39
pilE_S	neisseria.meningitidis_53442	spp	9
pilE_S	neisseria.meningitidis_FAM18	spp	4
pilE_S	neisseria.meningitidis_MC58	spp	10
