Ortholog	Taxon	Type	Count
vsg	trypanosoma.brucei	clade	266
vsg	trypanosoma.brucei_TREU927	spp	237
msp2_p44_map1_omp	anaplasma.phagocytophilum_hz	spp	85
msp2_p44_map1_omp	anaplasma.marginale_st_maries	spp	33
msp2_p44_map1_omp	ehrlichia.ruminantium_welgevonden	spp	33
msp2_p44_map1_omp	ehrlichia.ruminantium	clade	110
msp2_p44_map1_omp	ehrlichia.canis	clade	57
msp2_p44_map1_omp	neisseria.meningitidis_MC58	spp	5
msp2_p44_map1_omp	ehrlichia.chaffeensis_arkansas	spp	23
msp2_p44_map1_omp	ehrlichia.chaffeensis	clade	102
msp2_p44_map1_omp	neisseria.meningitidis_Z2491	spp	5
msp2_p44_map1_omp	ehrlichia.canis_jake	spp	27
msp2_p44_map1_omp	anaplasma.marginale	clade	396
msp2_p44_map1_omp	anaplasma.phagocytophilum	clade	293
msp2_p44_map1_omp	neisseria.meningitidis_FAM18	spp	5
msp2_p44_map1_omp	neisseria.meningitidis_53442	spp	4
msp2_p44_map1_omp	ehrlichia.ruminantium_gardel	spp	17
msp2_p44_map1_omp	plasmodium.yoelii	clade	2
esag1	trypanosoma.brucei	clade	78
esag1	trypanosoma.brucei_TREU927	spp	28
pilC	neisseria.gonorrhoeae_FA_1090	spp	2
pilC	neisseria.meningitidis_MC58	spp	3
pilC	neisseria.meningitidis_Z2491	spp	3
pilC	neisseria.gonorrhoeae	clade	6
pilC	neisseria.meningitidis	clade	13
pilC	neisseria.meningitidis_FAM18	spp	3
pilC	neisseria.meningitidis_53442	spp	3
var	plasmodium.knowlesi_h	spp	3
var	leishmania.major	clade	3
var	pneumocystis.jirovecii	clade	25
var	borrelia.hermsii	clade	2
var	plasmodium.falciparum_hb3	spp	83
var	plasmodium.falciparum_3d7	spp	65
var	ehrlichia.ruminantium	clade	2
var	pneumocystis.carinii	clade	18
var	plasmodium.berghei	clade	366
var	plasmodium.chabaudi_as	spp	2
var	trypanosoma.brucei	clade	3
var	plasmodium.vivax	clade	680
var	plasmodium.falciparum	clade	33637
var	plasmodium.falciparum_dd2	spp	53
var	plasmodium.berghei_anka	spp	2
var	trypanosoma.cruzi	clade	3
var	plasmodium.vivax_salvador1	spp	2
var	plasmodium.chabaudi	clade	227
var	plasmodium.yoelii	clade	696
var	plasmodium.knowlesi	clade	82
ves	leishmania.major	clade	43
ves	giardia.lamblia	clade	215
ves	borrelia.hermsii	clade	9
ves	ehrlichia.ruminantium	clade	3
ves	babesia.bovis	clade	325
ves	pneumocystis.carinii	clade	6
ves	plasmodium.berghei	clade	27
ves	leishmania.major_Friedlin	spp	2
ves	trypanosoma.brucei	clade	26
ves	plasmodium.vivax	clade	159
ves	plasmodium.falciparum	clade	78
ves	trypanosoma.cruzi	clade	78
ves	babesia.bovis_T2Bo	spp	141
ves	plasmodium.chabaudi	clade	4
ves	plasmodium.yoelii	clade	39
ves	plasmodium.knowlesi	clade	11
rifin_stevor	plasmodium.falciparum_hb3	spp	159
rifin_stevor	giardia.lamblia_ATCC_50803	spp	3
rifin_stevor	plasmodium.yoelii_17xnl	spp	2
rifin_stevor	plasmodium.falciparum_3d7	spp	225
rifin_stevor	plasmodium.berghei	clade	2
rifin_stevor	plasmodium.chabaudi_as	spp	2
rifin_stevor	plasmodium.vivax	clade	24
rifin_stevor	plasmodium.falciparum	clade	588
rifin_stevor	plasmodium.falciparum_dd2	spp	181
rifin_stevor	plasmodium.chabaudi	clade	2
rifin_stevor	plasmodium.yoelii	clade	2
opc	neisseria.gonorrhoeae_FA_1090	spp	2
opc	neisseria.meningitidis_MC58	spp	3
opc	neisseria.meningitidis_Z2491	spp	3
opc	neisseria.gonorrhoeae	clade	4
opc	neisseria.meningitidis	clade	17
